Timestep,SimStepTime,ImageConversionTime,ImageWriteTime
0,0.0705325,0.00921782,0.132845
1,0.0638894,0.0090415,0.0421891
2,0.0666299,0.00901119,0.0320625
3,0.0691661,0.00920261,0.0401742
4,0.0665447,0.00919511,0.0318604
5,0.061699,0.00908685,0.0306259
6,0.0658552,0.0059899,0.0311482
7,0.0626918,0.00802509,0.0313996
8,0.0625572,0.00618904,0.0323225
9,0.0612384,0.00837393,0.0228901
10,0.0538358,0.00840529,0.024664
11,0.0552779,0.00607984,0.0324058
12,0.0531397,0.00580111,0.025396
13,0.0462357,0.00598256,0.0227418
14,0.0504233,0.00765832,0.0304733
15,0.0468167,0.00638346,0.0171665
16,0.0506675,0.00570858,0.0160143
17,0.0469957,0.00794813,0.01643
18,0.056476,0.00607054,0.0172977
19,0.051335,0.00573894,0.0162208
20,0.0637945,0.00566754,0.0153334
21,0.0497689,0.006536,0.0153187
22,0.0511316,0.00566502,0.0155739
23,0.0606046,0.00621503,0.0203503
24,0.0487692,0.00599805,0.0160514
25,0.0576259,0.00758796,0.0165418
26,0.0524929,0.00638418,0.0170015
27,0.048636,0.00579001,0.0170094
28,0.0601115,0.00986869,0.0177386
29,0.0487039,0.00641639,0.0165646
30,0.0605137,0.00898006,0.0164798
31,0.0548426,0.00590649,0.0156969
32,0.0480093,0.00616844,0.0160268
33,0.0530008,0.00635625,0.018186
34,0.0545235,0.00582278,0.0152219
35,0.0496374,0.00592701,0.0154212
36,0.0491834,0.00607714,0.0163711
37,0.059581,0.00774435,0.0190183
38,0.0485437,0.00574269,0.0159849
39,0.0550684,0.00900619,0.0193924
40,0.0493459,0.00614571,0.016077
41,0.0560336,0.00883593,0.0186362
42,0.0565497,0.00599206,0.0164263
43,0.0496905,0.00582453,0.0155968
44,0.0547749,0.00848665,0.0193218
45,0.0554236,0.0061751,0.0173193
46,0.0507439,0.00787103,0.0147972
47,0.0509718,0.00618746,0.0161447
48,0.045901,0.00979474,0.0156951
49,0.0516349,0.0086245,0.0187834
50,0.0527561,0.00621196,0.0167287
51,0.0518052,0.00604633,0.0159125
52,0.0564569,0.00797551,0.0166488
53,0.0536116,0.00578752,0.0157443
54,0.05297,0.00603017,0.0165176
55,0.0481344,0.00640512,0.0162041
56,0.0551589,0.00841929,0.0157977
57,0.0536289,0.00838556,0.0171698
58,0.0507045,0.00615176,0.0180724
59,0.044891,0.00616645,0.0148906
60,0.0550325,0.00678645,0.0161715
61,0.0480046,0.00563295,0.0152463
62,0.0588693,0.00647677,0.016047
63,0.0549665,0.00659067,0.0191767
64,0.0511502,0.00610346,0.0168228
65,0.052113,0.00619185,0.0149119
66,0.0562439,0.00683756,0.0192072
67,0.0568691,0.00605292,0.0166129
68,0.0459796,0.00569089,0.015717
69,0.0585425,0.00903828,0.0156732
70,0.0508209,0.00581363,0.0154404
71,0.0623351,0.0062374,0.0180408
72,0.0581614,0.00599455,0.0159909
73,0.0472013,0.00623779,0.0162107
74,0.058482,0.00857948,0.0163333
75,0.0596318,0.00832211,0.0162521
76,0.0541838,0.00675219,0.0171822
77,0.0533124,0.00572808,0.0158284
78,0.058286,0.00854002,0.0162497
79,0.0475328,0.00714526,0.0170378
80,0.0574319,0.00836735,0.0178236
81,0.0527916,0.00572263,0.0162267
82,0.0604158,0.00634851,0.0184995
83,0.0589136,0.00568656,0.0153659
84,0.0466681,0.00577556,0.0150344
85,0.0514203,0.0076293,0.0154717
86,0.0538834,0.00595888,0.015624
87,0.0495833,0.00572863,0.0158575
88,0.0545353,0.00562627,0.018067
89,0.0580598,0.00565522,0.0153361
90,0.0483998,0.0061616,0.0155507
91,0.0558696,0.00702951,0.0166234
92,0.064067,0.00574464,0.0143729
93,0.0535482,0.00603912,0.0159372
94,0.051843,0.0065811,0.0174577
95,0.0528633,0.00567657,0.0154346
96,0.0576116,0.0068758,0.0180072
97,0.0596789,0.00594532,0.0162491
98,0.0507342,0.00565895,0.0158815
99,0.0556338,0.00860764,0.0173695
100,0.0468991,0.00604639,0.0147661
101,0.0524198,0.00593669,0.0169019
102,0.046677,0.00616971,0.0165072
103,0.0525825,0.00848656,0.0190134
104,0.0505878,0.00566856,0.0150178
105,0.0557822,0.00578699,0.0214983
106,0.0488085,0.00603995,0.016074
107,0.058016,0.00837128,0.0184357
108,0.0585874,0.00838782,0.0157642
109,0.0468966,0.00607013,0.0159631
110,0.0584817,0.00868449,0.0191754
111,0.0499473,0.00584102,0.0157025
112,0.0540229,0.00675945,0.0164035
113,0.0563912,0.00565887,0.0167694
114,0.0613499,0.00672249,0.0192204
115,0.0600538,0.00642574,0.016541
116,0.0455741,0.00569513,0.016036
117,0.0565911,0.00621202,0.0180343
118,0.0578877,0.00787718,0.0158374
119,0.0540359,0.00615158,0.0155786
120,0.0573411,0.0068688,0.0170587
121,0.047901,0.00572082,0.0165386
122,0.0558832,0.00611373,0.0153743
123,0.055001,0.0090011,0.018999
124,0.0676813,0.00837065,0.0156815
125,0.05229,0.00565248,0.0168285
126,0.0509888,0.00652338,0.0164552
127,0.0500988,0.00817098,0.0163799
128,0.0514433,0.00565215,0.0158727
129,0.0580524,0.0067618,0.0157894
130,0.0535076,0.00580639,0.0156686
131,0.0504217,0.00614872,0.0170945
132,0.0596578,0.00670939,0.017156
133,0.055459,0.00824457,0.0166432
134,0.0551544,0.00609263,0.0170625
135,0.0490176,0.00562811,0.015111
136,0.0516343,0.00841248,0.0188087
137,0.0469326,0.00574633,0.01619
138,0.0555031,0.00618675,0.0166934
139,0.0536142,0.00625817,0.0156512
140,0.0629849,0.00680524,0.0180301
141,0.0533319,0.00618985,0.0161358
142,0.0622362,0.00615743,0.016734
143,0.0610519,0.00566981,0.0149994
144,0.0571913,0.00632724,0.0197952
145,0.0453932,0.00617928,0.0154624
146,0.053745,0.00838428,0.0170212
147,0.0481008,0.00840038,0.0149307
148,0.0581541,0.00860934,0.0196269
149,0.0596786,0.00566378,0.0154695
150,0.0471772,0.0061863,0.0156828
151,0.0468433,0.0064183,0.0175873
152,0.0546926,0.0086029,0.0168629
153,0.0516137,0.00910306,0.0172368
154,0.0492401,0.00595723,0.0163351
155,0.0493189,0.00564273,0.0156474
156,0.0489989,0.00608121,0.0188542
157,0.0527276,0.00695508,0.0157788
158,0.0514264,0.00684317,0.0164398
159,0.0585192,0.00750424,0.0188297
160,0.0538816,0.00658634,0.0157297
161,0.0539658,0.00909,0.0156217
162,0.054728,0.00564831,0.0148529
163,0.0500256,0.00606785,0.0153267
164,0.0612454,0.00839579,0.0191483
165,0.0510036,0.00601874,0.0159271
166,0.0507246,0.00583538,0.0154082
167,0.0487438,0.00566867,0.0159927
168,0.0541027,0.00610541,0.017955
169,0.0605855,0.00764236,0.0165205
170,0.0553119,0.00620543,0.0149816
171,0.0555078,0.00679207,0.0167279
172,0.0537603,0.00687757,0.0150442
173,0.0562202,0.00620943,0.0156758
174,0.0513587,0.00637852,0.0152581
175,0.06015,0.00837246,0.0159385
176,0.0466737,0.00606493,0.0162625
177,0.0573605,0.00850048,0.0197892
178,0.0515659,0.00562974,0.0159604
179,0.0560867,0.00617156,0.0171328
180,0.0560086,0.00631979,0.0198504
181,0.0596419,0.00564747,0.0171414
182,0.0577124,0.00566055,0.0160493
183,0.0470266,0.00630806,0.0168708
184,0.0509118,0.00848233,0.0181314
185,0.0562837,0.00839261,0.0195069
186,0.0552919,0.00679178,0.0195161
187,0.0543463,0.00839887,0.0178129
188,0.0540079,0.00733756,0.0162165
189,0.0566786,0.008991,0.0177396
190,0.0535737,0.00835488,0.0179142
191,0.0458857,0.00565761,0.0170431
192,0.0569764,0.00896218,0.0161682
193,0.0590844,0.00625492,0.0166968
194,0.0477303,0.00614955,0.0160464
195,0.0519817,0.00645714,0.0166312
196,0.0517796,0.00570433,0.0176225
197,0.0508248,0.00800066,0.0163358
198,0.0597765,0.00899678,0.0198703
199,0.0567815,0.00831973,0.0143765
200,0.0589382,0.00623444,0.0207611
201,0.0575136,0.00565884,0.0160428
202,0.0506823,0.00886686,0.015961
203,0.0527519,0.00645213,0.019133
204,0.0466781,0.00606448,0.0172153
205,0.0553266,0.00896264,0.0180447
206,0.0542769,0.00837947,0.0162938
207,0.050587,0.0056274,0.0151404
208,0.0575229,0.00623678,0.0171155
209,0.0587205,0.00565623,0.0161212
210,0.0528946,0.00600113,0.0153946
211,0.0538039,0.00632575,0.0204303
212,0.0530133,0.00756244,0.0162062
213,0.053405,0.00842933,0.0154155
