Timestep,SimStepTime,ImageConversionTime,ImageWriteTime
0,0.0469474,0.00563172,0.0249387
1,0.0466266,0.00592891,0.0168399
2,0.0517162,0.00598156,0.0173206
3,0.0437749,0.00558584,0.0160689
4,0.0590385,0.0231581,0.017582
5,0.0820334,0.00566238,0.0173491
6,0.0859258,0.0172564,0.019111
7,0.047615,0.00558512,0.0169371
8,0.0481743,0.00558045,0.0172041
9,0.0440981,0.00561358,0.0217884
10,0.052769,0.00563436,0.0149879
11,0.053616,0.00568817,0.0168355
12,0.0583917,0.00561908,0.0180503
13,0.0464074,0.00577279,0.0168488
14,0.0497981,0.00558462,0.0216495
15,0.0501659,0.00559779,0.0171405
16,0.044761,0.00558131,0.0150328
17,0.0483306,0.00634446,0.0201646
18,0.0455915,0.00576884,0.015064
19,0.082691,0.00862818,0.0165389
20,0.0439394,0.00587557,0.0162131
21,0.0495491,0.00661944,0.0169221
22,0.0422669,0.00630184,0.0228551
23,0.064087,0.00560833,0.0156772
24,0.0517161,0.00564338,0.0156997
25,0.042163,0.00687095,0.0191397
26,0.0555502,0.00626277,0.0158076
27,0.0458991,0.00574476,0.0164432
28,0.0455486,0.00556229,0.0187298
29,0.0578509,0.00586317,0.0165668
30,0.0703118,0.00553314,0.014654
31,0.0625017,0.00906824,0.0179978
32,0.0497245,0.00595299,0.0171802
33,0.0462258,0.00558789,0.0166276
34,0.0499637,0.00568459,0.0166589
35,0.0538015,0.00553781,0.0173256
36,0.0587792,0.00552319,0.0153413
37,0.0444695,0.00555586,0.0199862
38,0.0434675,0.00559094,0.0176249
39,0.0489301,0.00571525,0.0209433
40,0.0563181,0.00553476,0.0170665
41,0.0464253,0.00559715,0.016177
42,0.0446042,0.00555491,0.0209363
43,0.0524974,0.00601168,0.0171189
44,0.0486692,0.00575543,0.0168749
45,0.0422636,0.00578906,0.0194923
46,0.0523991,0.00584541,0.016567
47,0.0420074,0.00558922,0.0202066
48,0.0533362,0.00563018,0.0163124
49,0.0482551,0.00550694,0.0165099
50,0.0513675,0.00555453,0.0192417
51,0.0427204,0.00552774,0.015372
52,0.0561786,0.0059312,0.0191359
53,0.0428866,0.00552673,0.0172692
54,0.0538992,0.00562624,0.0216714
55,0.042309,0.0055444,0.0180069
56,0.0422298,0.0055959,0.0205767
57,0.0547527,0.00557333,0.0172666
58,0.0475088,0.00552949,0.0161982
59,0.0430463,0.00553863,0.0210006
60,0.0542893,0.00570803,0.0159098
61,0.0470691,0.00572926,0.0168905
62,0.0423958,0.00553092,0.0211701
63,0.0549361,0.00553253,0.0174872
64,0.050766,0.00575345,0.0174823
