Timestep,SimStepTime,ImageConversionTime,ImageWriteTime
0,0.0880615,0.0110164,0.0155667
1,0.0848389,0.0111283,0.0157844
2,0.085063,0.0110729,0.0163565
3,0.0872586,0.0111253,0.0151789
4,0.133058,0.0112059,0.018756
5,0.108258,0.0177144,0.0155962
6,0.08721,0.0112926,0.0160059
7,0.0819582,0.0110667,0.0185524
8,0.0822962,0.0112021,0.0177213
9,0.0911948,0.011019,0.014834
10,0.091288,0.011101,0.0164942
11,0.0862852,0.0110489,0.015515
12,0.100469,0.0110678,0.0159795
13,0.0966832,0.0114257,0.0225491
14,0.0924069,0.0110912,0.0163059
15,0.0843468,0.0113731,0.0152363
16,0.0858473,0.0110686,0.0159928
17,0.0926289,0.0110872,0.0160016
18,0.0837261,0.0110814,0.016253
19,0.086923,0.0111054,0.0170824
20,0.0838839,0.0110915,0.0167454
21,0.0870367,0.0110925,0.0168854
22,0.0925771,0.0114466,0.0238879
23,0.0854362,0.0110803,0.0154059
24,0.0844287,0.0110949,0.0153841
25,0.084356,0.0110904,0.0169035
26,0.0837237,0.0110828,0.0159715
27,0.098242,0.01109,0.0151364
28,0.0851436,0.0110521,0.0171366
29,0.0991018,0.0115205,0.0161613
30,0.0846667,0.0110892,0.0150946
31,0.0845456,0.0116227,0.0152635
32,0.0930163,0.0113639,0.0163263
33,0.0836537,0.0110191,0.015536
34,0.0844461,0.0110422,0.0152772
35,0.0825542,0.0110237,0.0159716
36,0.100687,0.0111542,0.0147367
37,0.0889984,0.0110309,0.0183403
38,0.0923282,0.0110118,0.0154594
39,0.0858967,0.0111057,0.0153176
40,0.0901998,0.0111399,0.0162509
41,0.0826094,0.0110606,0.0154284
42,0.0838228,0.0111101,0.0167859
43,0.0829271,0.0111096,0.0153909
44,0.0834845,0.0110319,0.015714
45,0.0926563,0.011023,0.014656
46,0.0898109,0.011026,0.0291106
47,0.0841956,0.0110761,0.0161852
48,0.0889011,0.0110107,0.0155669
49,0.083333,0.0109808,0.0159822
50,0.0894318,0.0110084,0.0162381
51,0.089122,0.010998,0.0171036
52,0.0902664,0.0110077,0.0152507
53,0.0915178,0.0110138,0.0170503
54,0.0826591,0.0110266,0.0162341
55,0.0897493,0.0114857,0.0183858
56,0.0837248,0.0110447,0.0160441
57,0.0979476,0.0110713,0.0157891
58,0.0954446,0.0109846,0.0155847
59,0.0921685,0.0110074,0.0194715
60,0.093269,0.0112053,0.0166757
61,0.0914986,0.0110103,0.016524
62,0.0907214,0.0110539,0.0330919
63,0.0946563,0.0110277,0.0175083
64,0.0839533,0.010997,0.0157563
65,0.0832975,0.0110128,0.0157307
66,0.0829207,0.0110501,0.0171619
67,0.0845887,0.0110262,0.0158104
68,0.084416,0.0110163,0.0162813
69,0.0926324,0.0110808,0.0180612
70,0.0909156,0.0110358,0.0173942
71,0.0835514,0.0110553,0.0180332
72,0.0909836,0.0110049,0.0163381
73,0.0832858,0.0109949,0.0154491
74,0.0970586,0.0110813,0.0164468
75,0.0909146,0.0110152,0.0160837
76,0.0935675,0.0110453,0.0158456
77,0.0827059,0.011167,0.0151521
78,0.0825845,0.011209,0.0186963
79,0.0884185,0.0112587,0.0167876
80,0.0824311,0.0116513,0.0340002
81,0.0969113,0.0110851,0.0155105
82,0.0856805,0.0121752,0.015427
83,0.0964294,0.0110655,0.0167746
84,0.0895413,0.0110884,0.0168102
85,0.0838549,0.011071,0.0174013
86,0.0908257,0.0109827,0.0176585
87,0.0840214,0.011114,0.0267851
88,0.0922888,0.0110049,0.0160164
89,0.083339,0.0110298,0.0161072
90,0.08893,0.0110235,0.0161751
91,0.0842857,0.010994,0.0168119
92,0.0951972,0.0110987,0.0159294
93,0.0976963,0.0110193,0.0170294
94,0.0909102,0.0110403,0.0149002
95,0.0891612,0.0110201,0.0156136
96,0.0840837,0.0110054,0.0164094
97,0.085502,0.0110431,0.0154383
98,0.0837361,0.0110651,0.0158396
99,0.0831629,0.011003,0.0165709
100,0.0927979,0.011029,0.0164389
101,0.092458,0.0110211,0.0174376
102,0.0821733,0.0110503,0.016991
103,0.095177,0.0112072,0.0146855
104,0.0981117,0.0110541,0.0162295
105,0.0943212,0.0111233,0.0149894
106,0.0871048,0.0110407,0.015818
107,0.0833624,0.0110564,0.0171564
108,0.0900593,0.0110113,0.0186632
109,0.0906584,0.0112301,0.0164083
110,0.0939259,0.0109985,0.0168519
111,0.084876,0.0110095,0.0154026
112,0.0837896,0.011161,0.0172232
113,0.0844975,0.011025,0.0154261
114,0.0920646,0.011023,0.0148297
115,0.0951596,0.0110183,0.016462
116,0.0849187,0.0110337,0.0163095
117,0.0843632,0.0110286,0.016082
