Timestep,SimStepTime,ImageConversionTime,ImageWriteTime
168,0.163988,0.0222504,0.0173403
169,0.169082,0.022223,0.0171956
170,0.187841,0.022279,0.0191105
171,0.169556,0.0221518,0.0183989
172,0.168162,0.0219735,0.0167305
173,0.168214,0.0223576,0.0195845
174,0.186757,0.0222514,0.02199
175,0.170412,0.0226918,0.0182414
176,0.167907,0.02289,0.0190849
177,0.168817,0.0227891,0.0191182
178,0.164916,0.0228052,0.0195201
179,0.166412,0.0220838,0.0150569
180,0.167971,0.0226369,0.0173546
181,0.164712,0.022641,0.0183937
182,0.167327,0.0224494,0.0143968
183,0.167189,0.022359,0.0170921
184,0.168058,0.0223767,0.017128
185,0.16932,0.0228811,0.0168235
186,0.165215,0.0224226,0.0181974
187,0.168793,0.0221667,0.0230382
188,0.168624,0.0224023,0.0234565
189,0.165188,0.0224429,0.0218457
190,0.166417,0.0221665,0.0174538
191,0.167081,0.0223781,0.0217701
192,0.16752,0.0225427,0.0173261
193,0.16761,0.0223071,0.0210306
194,0.167814,0.0223852,0.022033
195,0.166753,0.0223842,0.0178782
196,0.167884,0.0223277,0.0218266
197,0.166713,0.0224886,0.0169732
198,0.167989,0.0223535,0.0167386
199,0.166583,0.0223904,0.0164493
200,0.167989,0.0224678,0.01731
201,0.166829,0.0222305,0.0171134
202,0.167307,0.022278,0.0162864
203,0.167143,0.0223431,0.017411
204,0.167279,0.0224072,0.016122
205,0.167158,0.0222864,0.0161789
206,0.165974,0.0224268,0.0162684
207,0.16686,0.0221169,0.0148221
208,0.166603,0.0222771,0.0165251
209,0.166708,0.0224529,0.0161969
210,0.169254,0.0224284,0.0165887
211,0.167303,0.0222997,0.0163345
212,0.164724,0.0227524,0.0179625
213,0.16703,0.0221279,0.0174739
214,0.168101,0.0228227,0.0166441
215,0.167326,0.0222221,0.0174584
216,0.1679,0.022382,0.0169091
217,0.164207,0.0223914,0.0161161
218,0.167735,0.0221755,0.0167156
219,0.179251,0.0223878,0.016194
220,0.166896,0.0224223,0.0167169
221,0.16939,0.0225061,0.016128
222,0.169625,0.0227382,0.0175531
223,0.165931,0.0224496,0.017298
224,0.168554,0.0222144,0.0165395
225,0.168429,0.0223966,0.0169342
226,0.168066,0.0223375,0.0210706
227,0.165619,0.0223692,0.0174492
228,0.169325,0.0220791,0.0163436
229,0.168825,0.0225183,0.0181447
230,0.167416,0.0221078,0.0163462
231,0.164244,0.0229623,0.0166718
232,0.167405,0.0220882,0.0163406
233,0.164507,0.0225507,0.0171048
234,0.16829,0.0221002,0.0157077
235,0.168195,0.0223536,0.0170749
236,0.168364,0.0224092,0.01732
237,0.167687,0.0226586,0.0166074
238,0.167686,0.0222239,0.0177646
239,0.166829,0.0223765,0.0170659
240,0.168417,0.0224729,0.0158458
241,0.167624,0.0224076,0.0163976
242,0.165032,0.0228372,0.0166342
