Timestep,SimStepTime,ImageConversionTime,ImageWriteTime
0,0.40032,0.0458364,0.0468396
1,0.343618,0.0468598,0.078187
2,0.324134,0.0440587,0.0182044
3,0.318883,0.0440303,0.0342356
4,0.302882,0.0429186,0.0292797
5,0.343825,0.0432926,0.015172
6,0.356726,0.0473547,0.023271
7,0.434394,0.0432956,0.0189826
8,0.326609,0.043048,0.031438
9,0.463226,0.0429343,0.0285419
10,0.406313,0.0430382,0.028288
11,0.345484,0.0433506,0.0310067
12,0.330366,0.0432488,0.0314286
13,0.392616,0.0458922,0.0537417
14,0.321698,0.0429778,0.0153185
15,0.325779,0.0436152,0.0408169
16,0.307899,0.0435948,0.0160935
17,0.444436,0.043847,0.0161868
18,0.319937,0.0429136,0.0163578
19,0.400855,0.0428584,0.01503
20,0.301743,0.0430391,0.0293765
21,0.367079,0.043032,0.024834
22,0.356782,0.0431985,0.0397929
23,0.3164,0.0435734,0.0360747
24,0.310649,0.0430701,0.0172302
25,0.35361,0.0430351,0.0168608
26,0.336732,0.0429085,0.0353015
27,0.371815,0.0431222,0.0326263
28,0.33234,0.0429918,0.0166057
29,0.382607,0.0433217,0.0328859
30,0.31501,0.0452315,0.0302269
31,0.372018,0.0430745,0.0160183
32,0.336639,0.0431231,0.0155769
33,0.347538,0.0432352,0.0161336
34,0.321839,0.0431689,0.0263186
35,0.343552,0.0433961,0.043703
36,0.339087,0.0432145,0.0541202
37,0.3576,0.0503186,0.0434546
38,0.307512,0.0647181,0.0439604
39,0.396404,0.0431659,0.0152572
40,0.308748,0.0429233,0.0225248
41,0.307219,0.0429134,0.0269438
42,0.422114,0.0438059,0.0311499
43,0.318835,0.043093,0.027797
44,0.321851,0.0481851,0.0335834
45,0.312394,0.0482802,0.0386635
46,0.337987,0.0430856,0.0323726
47,0.365475,0.0432107,0.0214021
48,0.36664,0.0429151,0.0303693
49,0.386067,0.0431433,0.0311784
50,0.354101,0.0430311,0.0209591
51,0.3193,0.0432373,0.0295927
52,0.339074,0.0432744,0.0444808
53,0.306123,0.0490143,0.0323135
54,0.340379,0.0437425,0.0161137
55,0.374052,0.0463075,0.018064
56,0.348731,0.0429492,0.0286831
57,0.357794,0.0436496,0.0318091
58,0.330516,0.0428954,0.0304155
59,0.402377,0.07493,0.0169636
60,0.30365,0.0431703,0.0268586
